start_station_id,end_station_id,viajes,pct,pct_acum
191,191,23250,0.2441589564068623,0.2441589564068623
785,785,15091,0.1584775402639122,0.4026364966707745
307,307,11926,0.12524041781110706,0.5278769144818816
303,303,11866,0.12461033018167003,0.6524872446635516
248,248,10741,0.11279618712972507,0.7652834317932766
111,111,10159,0.10668433712418554,0.8719677689174622
404,404,5755,0.06043590512350505,0.9324036740409672
191,248,5141,0.053988008382265765,0.986391682423233
789,789,5033,0.05285385064927905,1.039245533072512
248,191,4909,0.05155166954844245,1.0907972026209545
191,303,4734,0.04971391396258435,1.1405111165835389
307,404,4681,0.0491573365565816,1.1896684531401205
307,191,4403,0.046237930540189875,1.2359063836803104
213,213,4350,0.045681353134187135,1.2815877368144974
303,191,4272,0.044862239215918955,1.3264499760304165
350,350,4165,0.04373858294342286,1.3701885589738394
404,307,3961,0.041596285003336834,1.4117848439771763
191,307,3769,0.03958000458913823,1.4513648485663144
191,300,3384,0.03553694230025041,1.486901790866565
671,729,3246,0.034087740752545156,1.52098953161911
786,785,3226,0.03387771154273281,1.5548672431618429
307,303,3193,0.033531163346542416,1.5883984065083854
300,300,3157,0.03315311076888018,1.6215515172772657
625,625,2912,0.03058025294867884,1.6521317702259446
789,785,2882,0.03026520913396031,1.682396979359905
785,789,2855,0.029981669700713625,1.7123786490606185
191,111,2832,0.02974013610942942,1.742118785170048
404,191,2806,0.029467098136673357,1.7715858833067213
300,191,2797,0.0293725849922578,1.800958468298979
303,111,2788,0.02927807184784224,1.8302365401468212
785,786,2715,0.02851146523202714,1.8587480053788483
111,191,2712,0.028479960850555295,1.8872279662294036
111,248,2669,0.028028398049458732,1.9152563642788623
315,315,2600,0.027303797275606105,1.9425601615544683
303,248,2593,0.02723028705217178,1.96979044860664
303,307,2577,0.027062263684321897,1.9968527122909618
248,111,2512,0.026379668752431744,2.0232323810433934
729,671,2449,0.02571807674152283,2.0489504577849162
787,787,2430,0.02551854899220109,2.074469006777117
350,191,2421,0.02542403584778553,2.099893042624903
191,350,2304,0.024195364970383257,2.1240884075952864
350,307,2272,0.02385931823468349,2.1479477258299697
248,303,2216,0.023271236447208896,2.1712189622771785
191,404,2212,0.023229230605246422,2.194448192882425
248,307,2185,0.022945691171999745,2.2173938840544247
784,784,2177,0.022861679488074802,2.2402555635424997
154,71,2173,0.022819673646112332,2.263075237188612
785,783,2132,0.022389113765997004,2.285464350954609
111,303,2112,0.022179084556184652,2.3076434355107938
436,14,2083,0.02187454220195674,2.3295179777127504
46,458,2040,0.021422979400860177,2.3509409571136106
154,48,2038,0.021401976479878942,2.3723429335934894
14,436,2015,0.02116044288859473,2.393503376482084
114,114,1978,0.020771888850441875,2.414275265332526
762,213,1869,0.019627229656964545,2.4339024949894905
786,786,1838,0.019301684381755394,2.453204179371246
225,661,1829,0.01920717123733983,2.4724113506085854
433,14,1818,0.01909165517194304,2.4915030057805283
783,785,1817,0.01908115371145242,2.5105841594919807
183,74,1794,0.018839620120168214,2.529423779612149
404,303,1784,0.018734605515262036,2.548158385127411
74,183,1768,0.01856658214741215,2.5667249672748236
153,153,1737,0.018241036872203003,2.5849660041470264
14,109,1719,0.018052010583371882,2.6030180147303983
213,248,1715,0.018010004741409413,2.6210280194718076
564,130,1711,0.01796799889944694,2.6389960183712544
213,191,1689,0.01773696676865335,2.6567329851399077
356,428,1689,0.01773696676865335,2.674469951908561
644,707,1687,0.017715963847672114,2.6921859157562333
14,433,1672,0.01755844194031285,2.7097443576965463
762,762,1663,0.01746392879589729,2.7272082864924436
154,579,1649,0.01731690834902864,2.744525194841472
71,154,1631,0.017127882060197525,2.76165307690167
14,66,1616,0.016970360152838256,2.778623437054508
14,71,1614,0.016949357231857018,2.795572794286365
661,225,1614,0.016949357231857018,2.812522151518222
707,635,1605,0.01685484408744146,2.8293769956056636
428,356,1601,0.01681283824547899,2.8461898338511427
154,136,1592,0.01671832510106343,2.862908158952206
675,735,1588,0.01667631925910096,2.879584478211307
350,303,1584,0.016634313417138488,2.896218791628445
553,717,1582,0.016613310496157253,2.9128321021246024
101,154,1580,0.01659230757517602,2.9294244096997786
248,300,1561,0.01639277982585428,2.945817189525633
707,644,1558,0.016361275444382428,2.962178464970015
300,307,1556,0.01634027252340119,2.9785187374934163
717,553,1550,0.016277263760457485,2.994796001253874
