start_station_id,end_station_id,viajes,pct,pct_acum
191,191,44470,0.23306311917381511,0.23306311917381511
785,785,30402,0.15933404427979145,0.39239716345360653
303,303,23877,0.12513712832276103,0.5175342917763676
307,307,22937,0.12021067606228461,0.6377449678386522
248,248,21676,0.1136018927639221,0.7513468606025743
111,111,18849,0.0987858496358723,0.8501327102384466
404,404,11438,0.05994549037800983,0.9100782006164564
789,789,9776,0.051235103508954716,0.9613133041254112
191,248,9751,0.05110408084245269,1.012417384967864
248,191,9361,0.049060127245020985,1.061477512212885
191,303,9146,0.047933332313103504,1.1094108445259885
213,213,8906,0.046675514714683994,1.1560863592406725
307,404,8780,0.04601516047551375,1.2021015197161862
307,191,8452,0.04429614309100709,1.2463976628071933
303,191,8300,0.043499525278674726,1.289897188085868
350,350,8015,0.04200586688055156,1.3319030549664197
404,307,7576,0.039705108856775875,1.3716081638231956
191,307,7261,0.038054223258850266,1.409662387082046
671,729,6773,0.035496660808730596,1.4451590478907765
786,785,6189,0.03243597131924312,1.4775950192100196
307,303,6147,0.032215853239519705,1.5098108724495394
625,625,5943,0.03114670828086312,1.5409575807304026
789,785,5669,0.02971069985600085,1.5706682805864034
191,300,5618,0.029443413616336702,1.60011169420274
785,789,5517,0.02891408204366849,1.6290257762464084
729,671,5394,0.028269450524478493,1.657295226770887
300,300,5357,0.028075536978055485,1.6853707637489423
404,191,5317,0.027865900711652233,1.7132366644605945
191,111,5212,0.0273156055123437,1.7405522699729383
787,787,5088,0.026665733086493615,1.767218003059432
785,786,5074,0.02659236039325248,1.7938103634526845
111,248,5072,0.026581878579932314,1.8203922420326168
303,111,5041,0.026419410473469795,1.8468116525060867
111,191,4979,0.026094474260544755,1.8729061267666314
303,248,4972,0.02605778791392419,1.8989639146805555
303,307,4937,0.02587435618082134,1.9248382708613767
785,783,4829,0.025308338261532563,1.9501466091229094
315,315,4766,0.024978161141947442,1.9751247702648569
350,191,4750,0.024894306635386144,2.000019076900243
248,111,4745,0.024868102102085735,2.0248871790023286
300,191,4736,0.024820933942145004,2.0497081129444736
191,350,4522,0.023699379916887607,2.073407492861361
248,307,4493,0.02354739362374525,2.0969548864851064
436,14,4488,0.02352118909044484,2.120476075575551
248,303,4419,0.023159566530899234,2.1436356421064504
46,458,4374,0.022923725731195572,2.166559367837646
350,307,4323,0.02265643949153143,2.1892158073291776
74,183,4306,0.022567344078310046,2.2117831514074875
14,436,4165,0.021828376239238584,2.233611527646726
191,404,4118,0.021582053626214764,2.2551935812729407
183,74,4114,0.02156108999957444,2.2767546712725153
154,71,4113,0.02155584909291436,2.2983105203654297
783,785,4075,0.021356694639831267,2.319667215005261
153,153,4053,0.02124139469330948,2.3409086096985705
154,48,3992,0.02092169938704452,2.361830309085615
225,661,3884,0.02035568146775574,2.382185990553371
784,784,3871,0.020287549681174685,2.4024735402345456
786,786,3854,0.020198454267953303,2.422671994502499
762,213,3743,0.01961671362868428,2.442288708131183
111,303,3742,0.0196114727220242,2.461900180853207
433,14,3706,0.01942280008226127,2.4813229809354684
644,707,3586,0.018793891283051516,2.50011687221852
404,303,3570,0.018710036776490215,2.51882690899501
14,66,3553,0.018620941363268834,2.537447850358279
213,248,3461,0.018138777950541352,2.5555866283088204
14,109,3435,0.01800251437737924,2.5735891426862
762,762,3407,0.017855768990896963,2.591444911677097
114,114,3379,0.01770902360441469,2.609153935281512
707,635,3362,0.017619928191193308,2.6267738634727054
675,735,3327,0.01743649645809046,2.644210359930796
213,191,3318,0.01738932829814973,2.6615996882289457
356,428,3304,0.017315955604908593,2.678915643833854
707,644,3297,0.017279269258288023,2.696194913092142
553,717,3261,0.017090596618525095,2.7132855097106674
428,356,3234,0.016949092138702902,2.73023460184937
14,433,3200,0.016770901312260136,2.7470055031616303
154,579,3199,0.016765660405600055,2.76377116356723
636,671,3198,0.016760419498939975,2.7805315830661703
307,248,3194,0.01673945587229965,2.79727103893847
458,46,3172,0.01662415592577786,2.813895194864248
154,136,3148,0.01649837416593591,2.830393569030184
661,225,3138,0.016445965099335096,2.846839534129519
71,154,3109,0.016293978806192738,2.8631335129357116
46,488,3097,0.016231087926271762,2.8793646008619835
717,553,3077,0.016126269793070136,2.8954908706550535
109,14,3068,0.016079101633129405,2.911569972288183
783,790,3068,0.016079101633129405,2.9276490739213124
374,66,3038,0.015921874433326967,2.9435709483546395
213,307,3022,0.015838019926765666,2.959408968281405
350,303,3014,0.015796092673485015,2.97520506095489
14,159,3012,0.015785610860164855,2.9909906718150547
613,647,2998,0.015712238166923718,3.0067029099819784
613,687,2972,0.0155759745937616,3.0222788845757402
564,130,2963,0.01552880643382087,3.037807691009561
663,622,2921,0.015308688354097457,3.0531163793636584
579,154,2917,0.015287724727457132,3.0684041040911154
307,350,2899,0.015193388407575668,3.083597492498691
101,154,2893,0.01516194296761518,3.098759435466306
635,707,2890,0.015146220247634935,3.113905655713941
154,703,2868,0.015030920301113148,3.128936576015054
790,783,2848,0.014926102167911522,3.1438626781829653
154,101,2827,0.014816043128049815,3.158678721311015
132,251,2824,0.014800320408069572,3.1734790417190846
138,138,2819,0.014774115874769164,3.1882531575938535
154,66,2812,0.014737429528148596,3.202990587122002
14,71,2755,0.014438697848523962,3.217429284970526
213,762,2747,0.014396770595243313,3.231826055565769
772,624,2747,0.014396770595243313,3.2462228261610124
787,785,2746,0.014391529688583229,3.2606143558495955
622,663,2713,0.014218579768800546,3.274832935618396
74,817,2687,0.014082316195638434,3.2889152518140343
789,786,2683,0.01406135256899811,3.3029766043830326
300,307,2680,0.014045629849017865,3.3170222342320503
671,636,2674,0.014014184409057375,3.3310364186411077
68,14,2670,0.013993220782417052,3.3450296394235246
788,785,2669,0.01398797987575697,3.3590176192992818
735,675,2667,0.013977498062436807,3.3729951173617185
248,300,2664,0.013961775342456562,3.386956892704175
687,613,2653,0.01390412536919567,3.4008610180733707
303,404,2639,0.013830752675954534,3.414691770749325
57,14,2631,0.01378882542267388,3.428480596171999
737,769,2628,0.013773102702693637,3.4422536988746923
303,300,2612,0.013689248196132337,3.4559429470708247
39,251,2606,0.01365780275617185,3.4696007498269967
692,692,2591,0.01357918915627063,3.4831799389832674
313,14,2588,0.013563466436290387,3.496743405419558
225,379,2584,0.01354250280965006,3.510285908229208
130,564,2583,0.01353726190298998,3.523823170132198
193,194,2577,0.01350581646302949,3.5373289865952273
624,772,2572,0.013479611929729084,3.5508085985249562
300,248,2562,0.013427202863128273,3.5642358013880844
785,788,2562,0.013427202863128273,3.5776630042512125
817,74,2559,0.013411480143148028,3.5910744843943605
307,111,2557,0.013400998329827867,3.6044754827241885
732,298,2549,0.013359071076547213,3.6178345538007357
350,404,2547,0.013348589263227054,3.631183143063963
492,499,2538,0.013301421103286321,3.644484564167249
499,492,2536,0.013290939289966157,3.6577755034572155
