start_station_id,end_station_id,viajes,pct,pct_acum
191,191,72625,0.19038021176151515,0.19038021176151515
785,785,67661,0.17736751129770573,0.3677477230592209
303,303,42049,0.11022784887242618,0.4779755719316471
307,307,40221,0.10543590357672843,0.5834114755083755
248,248,35652,0.09345866175175957,0.676870137260135
111,111,35438,0.09289767909679277,0.7697678163569278
789,789,23977,0.06285365008476211,0.8326214664416899
404,404,20312,0.053246166764886686,0.8858676332065766
213,213,16447,0.0431144005899021,0.9289820337964787
191,248,15739,0.04125843928281566,0.9702404730792944
191,303,15405,0.04038288691478335,1.0106233599940777
248,191,15163,0.03974850466010126,1.0503718646541789
307,404,15087,0.03954927717515978,1.0899211418293386
350,350,14521,0.03806555669520085,1.1279866985245395
787,787,14328,0.037559623740020504,1.16554632226456
303,191,14226,0.03729223948391484,1.2028385617484747
625,625,13918,0.03648484388704672,1.2393234056355213
307,191,13907,0.036456008330015714,1.275779413965537
300,300,13394,0.03511122280666071,1.3108906367721977
404,307,13043,0.03419110639594413,1.3450817431681419
789,785,12605,0.03304292694325506,1.378124670111397
191,307,12340,0.032348252160235416,1.4104729222716323
785,789,12246,0.03210183921833411,1.4425747614899664
191,300,11675,0.030605011666997445,1.4731797731569638
671,729,11413,0.029918201126804437,1.5030979742837682
786,786,11363,0.02978713041302715,1.5328851046967953
786,785,11336,0.029716352227587412,1.5626014569243827
784,784,10674,0.02798097597717608,1.5905824329015588
785,783,10510,0.027551064035986565,1.6181334969375454
307,303,10117,0.026520848225697058,1.6446543451632425
300,191,9960,0.026109286184436364,1.6707636313476788
785,786,9780,0.025637431614838117,1.696401062962517
315,315,9669,0.02534645463025253,1.7217475175927694
729,671,9605,0.025178684116617597,1.746926201709387
191,111,9394,0.02462556570447743,1.7715517674138643
111,191,9219,0.024166818206256914,1.7957185856201212
783,785,9109,0.02387846263594687,1.8195970482560682
111,248,9099,0.023852248493191414,1.8434492967492595
404,191,9008,0.023613699794116743,1.8670629965433763
303,111,8907,0.023348936952286615,1.8904119334956628
46,458,8384,0.021977937286176155,1.912389870781839
303,248,8350,0.021888809200807595,1.9342786799826466
303,307,8303,0.02176560272985694,1.9560442827125035
153,153,8278,0.021700067372968295,1.977744350085472
